"","n1","n2","n3","n4","score"
"282",0.1,0.4,0.25,0.25,20.8586091786547
"156",0.05,0.35,0.15,0.45,20.8358301353746
"182",0.05,0.4,0.2,0.35,20.8358301353746
"30",0.05,0.65,0.25,0.05,20.8345475315863
"36",0.05,0.6,0.3,0.05,20.8345475315863
"90",0.05,0.6,0.25,0.1,20.8345475315863
"102",0.05,0.55,0.3,0.1,20.8345475315863
"186",0.05,0.45,0.25,0.25,20.8278095863517
"161",0.05,0.4,0.15,0.4,20.8210716411172
"171",0.05,0.5,0.25,0.2,20.8130510920944
"96",0.1,0.6,0.25,0.05,20.7970099940487
"176",0.05,0.45,0.2,0.3,20.7902720488142
"252",0.1,0.3,0.15,0.45,20.7902720488142
"270",0.1,0.45,0.25,0.2,20.7902720488142
"278",0.1,0.35,0.2,0.35,20.7902720488142
"99",0.05,0.3,0.1,0.55,20.7835341035797
"260",0.1,0.4,0.15,0.35,20.7835341035797
"24",0.05,0.7,0.2,0.05,20.7822514997914
"84",0.1,0.65,0.2,0.05,20.7822514997914
"33",0.05,0.3,0.05,0.6,20.7755135545568
"75",0.05,0.2,0.1,0.65,20.7755135545568
"170",0.05,0.5,0.2,0.25,20.7755135545568
"212",0.1,0.6,0.1,0.2,20.7755135545568
"275",0.1,0.4,0.2,0.3,20.7755135545568
"72",0.1,0.7,0.15,0.05,20.7742309507685
"108",0.1,0.55,0.3,0.05,20.7742309507685
"111",0.05,0.35,0.1,0.5,20.7687756093223
"147",0.05,0.55,0.25,0.15,20.767493005534
"87",0.05,0.25,0.1,0.6,20.7607550602995
"165",0.05,0.55,0.2,0.2,20.7607550602995
"258",0.1,0.35,0.15,0.4,20.7607550602995
"264",0.1,0.5,0.2,0.2,20.7607550602995
"242",0.1,0.55,0.15,0.2,20.7540171150649
"78",0.05,0.65,0.2,0.1,20.7527345112767
"89",0.05,0.6,0.1,0.25,20.7527345112767
"249",0.1,0.5,0.25,0.15,20.7527345112767
"69",0.1,0.15,0.05,0.7,20.7459965660421
"201",0.1,0.7,0.1,0.1,20.7447139622538
"207",0.1,0.65,0.15,0.1,20.7447139622538
"93",0.1,0.25,0.05,0.6,20.7379760170193
"141",0.05,0.6,0.2,0.15,20.7379760170193
"243",0.1,0.55,0.2,0.15,20.7379760170193
"18",0.05,0.75,0.15,0.05,20.7286728642082
"66",0.05,0.7,0.15,0.1,20.7219349189736
"269",0.1,0.45,0.2,0.25,20.7151969737391
"15",0.05,0.15,0.05,0.75,20.7084590285046
"105",0.1,0.3,0.05,0.55,20.7084590285046
"222",0.1,0.3,0.1,0.5,20.7084590285046
"81",0.1,0.2,0.05,0.65,20.7004384794818
"158",0.05,0.45,0.15,0.35,20.7004384794818
"237",0.1,0.6,0.15,0.15,20.7004384794818
"39",0.05,0.35,0.05,0.55,20.6924179304589
"77",0.05,0.65,0.1,0.2,20.6924179304589
"206",0.1,0.65,0.1,0.15,20.6924179304589
"218",0.1,0.55,0.1,0.25,20.6924179304589
"123",0.05,0.4,0.1,0.45,20.6856799852244
"146",0.05,0.55,0.15,0.25,20.6856799852244
"152",0.05,0.5,0.15,0.3,20.6856799852244
"254",0.1,0.45,0.15,0.3,20.6856799852244
"27",0.05,0.25,0.05,0.65,20.6776594362016
"140",0.05,0.6,0.15,0.2,20.6776594362016
"21",0.05,0.2,0.05,0.7,20.670921490967
"248",0.1,0.5,0.15,0.25,20.670921490967
"135",0.05,0.65,0.15,0.15,20.6696388871787
"57",0.1,0.1,0.05,0.75,20.6629009419442
"228",0.1,0.35,0.1,0.45,20.6561629967097
"224",0.1,0.5,0.1,0.3,20.6548803929214
"54",0.05,0.75,0.1,0.1,20.6535977891331
"117",0.1,0.35,0.05,0.5,20.6481424476869
"101",0.05,0.55,0.1,0.3,20.6468598438986
"113",0.05,0.5,0.1,0.35,20.6468598438986
"125",0.05,0.45,0.1,0.4,20.6468598438986
"67",0.1,0.05,0.15,0.7,20.6375566910874
"230",0.1,0.45,0.1,0.35,20.6321013496412
"65",0.05,0.7,0.1,0.15,20.6240808006184
"55",0.1,0.05,0.1,0.75,20.6147776478073
"79",0.1,0.05,0.2,0.65,20.6147776478073
"233",0.1,0.4,0.1,0.4,20.6025843611265
"60",0.1,0.75,0.1,0.05,20.6000191535499
"91",0.1,0.05,0.25,0.6,20.5692195612469
"45",0.05,0.4,0.05,0.5,20.5409851765205
"9",0.05,0.8,0.1,0.05,20.5316820237094
"103",0.1,0.05,0.3,0.55,20.5236614746865
"56",0.1,0.05,0.75,0.1,20.5156409256637
"129",0.1,0.4,0.05,0.45,20.5114681880058
"50",0.05,0.45,0.05,0.45,20.5101855842175
"68",0.1,0.05,0.7,0.15,20.4713654428916
"80",0.1,0.05,0.65,0.2,20.4713654428916
"92",0.1,0.05,0.6,0.25,20.4713654428916
"104",0.1,0.05,0.55,0.3,20.4713654428916
"116",0.1,0.05,0.5,0.35,20.4713654428916
"115",0.1,0.05,0.35,0.5,20.4633448938688
"11",0.1,0.05,0.8,0.05,20.455324344846
"131",0.1,0.45,0.05,0.4,20.4431310581652
"47",0.05,0.5,0.05,0.4,20.4270899601196
"128",0.1,0.05,0.45,0.4,20.4258073563313
"127",0.1,0.05,0.4,0.45,20.4110488620739
"10",0.1,0.05,0.05,0.8,20.3950077640283
"119",0.1,0.5,0.05,0.35,20.3747939283247
"35",0.05,0.6,0.05,0.3,20.3667733793019
"59",0.1,0.75,0.05,0.1,20.358752830279
"71",0.1,0.7,0.05,0.15,20.3372563907871
"41",0.05,0.55,0.05,0.35,20.3292358417643
"95",0.1,0.6,0.05,0.25,20.3292358417643
"107",0.1,0.55,0.05,0.3,20.3292358417643
"83",0.1,0.65,0.05,0.2,20.314477347507
"17",0.05,0.75,0.05,0.15,20.3064567984841
"23",0.05,0.7,0.05,0.2,20.2916983042268
"8",0.05,0.8,0.05,0.1,20.283677755204
"29",0.05,0.65,0.05,0.25,20.2689192609466
"12",0.1,0.8,0.05,0.05,20.1242244522427
"3",0.05,0.85,0.05,0.05,20.0786663656823
